janes.news.rtvslo.335696.752.1.t2	janes.news.rtvslo.335696.752.1.2	#30
tid.292197721400569857.3.t1	tid.292197721400569857.3.1	#67781
janes.blog.publishwall.2550.1.2.t7	janes.blog.publishwall.2550.1.2.7	#67850
tid.352879509726445568.2.t4	tid.352879509726445568.2.4.r1	#68203
janes.blog.publishwall.13509.3.2.t4	janes.blog.publishwall.13509.3.2.4	#68271
tid.486633074076426242.5.t5	tid.486633074076426242.5.5.r1	#68403
tid.521974363256397824.2.t6	tid.521974363256397824.2.6	#68524
tid.407744291172139008.1.t13	tid.407744291172139008.1.13	#68654
tid.407744291172139008.2.t5	tid.407744291172139008.2.5	#68664
tid.518498046792175616.1.t12	tid.518498046792175616.1.12	#68679
tid.416681901538033664.1.t10	tid.416681901538033664.1.10	#68823
tid.362898383951761408.3.t2	tid.362898383951761408.3.2	#69293
janes.forum.medovernet.9925831.1.t3	janes.forum.medovernet.9925831.1.3	#69360
janes.forum.medovernet.9925831.1.t7	janes.forum.medovernet.9925831.1.7	#69364
tid.539878993269633024.2.t2	tid.539878993269633024.2.2	#69542
tid.441102269497352192.1.t24	tid.441102269497352192.1.24	#69589
janes.forum.avtomobilizem.4.66867.1169086.1.t2	janes.forum.avtomobilizem.4.66867.1169086.1.2.r1	#69785
tid.515384408874827776.2.t18	tid.515384408874827776.2.18	#69877
janes.forum.medovernet.6669457.2.t1	janes.forum.medovernet.6669457.2.1	#69947
tid.352895169575657472.1.t8	tid.352895169575657472.1.8	#70106
tid.567264958854217728.2.t2	tid.567264958854217728.2.2	#70135
tid.393488805501472768.2.t19	tid.393488805501472768.2.19	#70218
janes.news.rtvslo.127005.244.2.t7	janes.news.rtvslo.127005.244.2.6.r1	#70404
janes.forum.kvarkadabra.22.4696.58138.1.t2	janes.forum.kvarkadabra.22.4696.58138.1.2	#70480
tid.532524144316145665.2.t7	tid.532524144316145665.2.7	#70611
tid.376650398104551424.1.t9	tid.376650398104551424.1.9	#70695
janes.blog.rtvslo.16262.5.1.t3	janes.blog.rtvslo.16262.5.1.3	#70721
tid.518149751158898688.1.t5	tid.518149751158898688.1.5	#70927
tid.518149751158898688.2.t6	tid.518149751158898688.2.6	#70940
tid.411429696988274688.1.t5	tid.411429696988274688.1.5	#70956
tid.411429696988274688.2.t4	tid.411429696988274688.2.4	#70974
tid.565238815514558464.1.t5	tid.565238815514558464.1.5	#71053
tid.563801683679928320.3.t1	tid.563801683679928320.3.1	#71228
janes.forum.kvarkadabra.32.724.5420.1.t6	janes.forum.kvarkadabra.32.724.5420.1.6.r1	#71286
tid.362295703176884224.1.t5	tid.362295703176884224.1.5	#71819
janes.news.rtvslo.336533.707.1.t4	janes.news.rtvslo.336533.707.1.4	#71947
tid.431016005423624192.2.t6	tid.431016005423624192.2.6	#72096
tid.509738977176616960.2.t4	tid.509738977176616960.2.4	#72161
tid.509738977176616960.3.t3	tid.509738977176616960.3.3	#72166
tid.437542956824674304.2.t2	tid.437542956824674304.2.2	#72181
janes.news.rtvslo.343274.5.1.t2	janes.news.rtvslo.343274.5.1.2	#72287
janes.blog.rtvslo.6310.12.1.t3	janes.blog.rtvslo.6310.12.1.3	#72593
tid.531028043780091905.2.t3	tid.531028043780091905.2.3	#72620
tid.476460673502019584.1.t5	tid.476460673502019584.1.5	#72656
tid.372771150150918144.2.t8	tid.372771150150918144.2.8	#72758
tid.477940295456534528.1.t3	tid.477940295456534528.1.3	#72848
tid.477940295456534528.2.t1	tid.477940295456534528.2.1	#72851
tid.517926939374661632.3.t4	tid.517926939374661632.3.4	#72950
tid.407442726003552256.1.t23	tid.407442726003552256.1.23	#73007
janes.blog.publishwall.3174.3.1.t1	janes.blog.publishwall.3174.3.1.1	#73280
janes.blog.rtvslo.18285.12.1.t8	janes.blog.rtvslo.18285.12.1.8	#73591
janes.news.rtvslo.335731.332.1.t2	janes.news.rtvslo.335731.332.1.2	#73654
tid.486989008992743424.1.t6	tid.486989008992743424.1.6	#73685
tid.393728090423037953.3.t5	tid.393728090423037953.3.5	#73818
tid.463404479740928001.2.t1	tid.463404479740928001.2.1	#73842
janes.forum.medovernet.6386572.2.t6	janes.forum.medovernet.6386572.2.6	#73944
janes.blog.rtvslo.14253.7.1.t3	janes.blog.rtvslo.14253.7.1.3	#74024
tid.454538575347208192.2.t1	tid.454538575347208192.2.1	#74259
janes.forum.medovernet.3438162.2.t2	janes.forum.medovernet.3438162.2.2	#74351
janes.forum.medovernet.3438162.2.t10	janes.forum.medovernet.3438162.2.10	#74359
janes.forum.medovernet.3438162.3.t3	janes.forum.medovernet.3438162.3.3	#74387
tid.563685640060293120.2.t7	tid.563685640060293120.2.7	#74440
janes.news.rtvslo.345504.21.1.t4	janes.news.rtvslo.345504.21.1.4	#74705
tid.383626975211827201.1.t5	tid.383626975211827201.1.5	#74791
tid.325540693160366080.1.t5	tid.325540693160366080.1.5	#74931
tid.325540693160366080.3.t6	tid.325540693160366080.3.6	#74945
tid.479705914375933952.1.t2	tid.479705914375933952.1.2	#75175
tid.461509263631073280.1.t7	tid.461509263631073280.1.7	#75205
tid.487689769875685376.1.t11	tid.487689769875685376.1.11	#75236
